dr_no,date_rptd,date_occ,time_occ,area_name,crm_cd_desc,vict_age,vict_sex,vict_descent,weapon_desc,status_desc,location
230305577,2023-02-01,2023-02-01,00:01,Southwest,THEFT OF IDENTITY,23,F,B,No weapon/Unknown,Invest Cont,2400 W  48TH                         ST
221017997,2022-12-22,2022-12-22,16:30,West Valley,TRESPASSING,43,M,O,No weapon/Unknown,Invest Cont,6300    CANBY                        AV
220217471,2022-09-26,2022-09-26,19:10,Rampart,VIOLATION OF RESTRAINING ORDER,33,F,H,No weapon/Unknown,Adult Other,500 S  WESTLAKE                     AV
220315624,2022-08-24,2022-08-05,12:00,Southwest,"BUNCO, GRAND THEFT",26,F,W,No weapon/Unknown,Invest Cont,1200 W  36TH                         ST
230505562,2023-02-12,2023-02-12,07:30,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT,37,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1100 N  MARINE                       AV
220414048,2022-10-07,2022-10-07,07:00,Hollenbeck,BATTERY - SIMPLE ASSAULT,67,M,H,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,5300    HYDE                         ST
231607626,2023-04-25,2023-04-23,18:40,Foothill,BATTERY - SIMPLE ASSAULT,66,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,LAUREL CANYON
221916373,2022-11-02,2022-11-01,12:35,Mission,THEFT OF IDENTITY,23,F,H,No weapon/Unknown,Invest Cont,14400    BRAND                        BL
221718425,2022-12-22,2022-12-22,13:30,Devonshire,CRIMINAL THREATS - NO WEAPON DISPLAYED,18,F,H,VERBAL THREAT,Adult Other,16600    DEVONSHIRE                   ST
220716608,2022-11-15,2022-11-12,12:00,Wilshire,THEFT OF IDENTITY,56,F,B,No weapon/Unknown,Invest Cont,1200    CARMONA                      AV
231307391,2023-03-07,2023-03-07,15:00,Newton,ROBBERY,32,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,CENTRAL                      AV
221917529,2022-12-02,2022-12-02,23:30,Mission,VIOLATION OF RESTRAINING ORDER,28,F,H,No weapon/Unknown,Invest Cont,14400    LAKESIDE                     ST
221225578,2022-12-17,2022-12-17,22:35,77th Street,ARSON,59,F,B,No weapon/Unknown,Invest Cont,8700 S  HARVARD                      BL
231209853,2023-04-09,2023-04-09,00:01,77th Street,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),11,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1000 W  58TH                         PL
220714532,2022-09-25,2022-09-25,13:30,Wilshire,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,M,W,No weapon/Unknown,Invest Cont,300 N  MANSFIELD                    AV
220714010,2022-09-11,2022-09-07,20:00,Wilshire,BURGLARY FROM VEHICLE,43,M,W,No weapon/Unknown,Invest Cont,AIRDROME                     ST
222117101,2022-11-26,2022-11-26,22:45,Topanga,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,M,H,HAND GUN,Invest Cont,21900    VANOWEN                      ST
230507018,2023-03-24,2023-03-24,09:30,Harbor,VIOLATION OF RESTRAINING ORDER,43,F,B,No weapon/Unknown,Adult Arrest,400 W  17TH                         ST
